Waktu,Restan,Produksi,Jumlah Pemanen,Prestasi Pemanen,% Langsir,Curah Hujan,Jumlah Trip/Hari,Rata-rata Ritase/Hari,Rata-rata Tonase/Trip,Jam Timbang Pertama,Jam Kedatangan Kebun Pertama,Bulan,NamaBulan,DayOfWeek,NamaHari,Restan_Binary
2025-01-02,14600,85940,69,1245.51,37.88,14.5,16,1.6,5371.25,13.8,10.8,1,Jan,3,Thursday,1
2025-01-03,4536,101570,92,1104.02,38.61,7.44,22,1.69,4616.82,13.56,10.56,1,Jan,4,Friday,1
2025-01-04,7260,81030,78,1038.85,48.85,3.13,16,1.23,5064.38,15.91,12.91,1,Jan,5,Saturday,1
2025-01-05,15580,49670,46,1079.78,30.67,36.67,9,1.0,5518.89,17.03,14.03,1,Jan,6,Sunday,1
2025-01-06,16630,84980,81,1049.14,39.77,24.63,12,1.09,7081.67,15.6,12.6,1,Jan,0,Monday,1
2025-01-07,3240,94950,101,940.1,30.55,0.0,22,1.57,4315.91,0.76,-2.24,1,Jan,1,Tuesday,1
2025-01-08,5600,95950,95,1010.0,38.71,0.31,17,1.31,5644.12,15.17,12.17,1,Jan,2,Wednesday,1
2025-01-09,0,89030,97,917.84,41.87,2.65,18,1.5,4946.11,15.72,12.72,1,Jan,3,Thursday,0
2025-01-10,12181,46480,73,636.71,48.88,54.18,10,1.11,4648.0,14.96,11.96,1,Jan,4,Friday,1
2025-01-11,0,60360,105,574.86,40.35,0.63,13,1.08,4643.08,15.98,12.98,1,Jan,5,Saturday,0
2025-01-13,0,56820,87,653.1,32.81,0.0,12,1.33,4735.0,15.09,12.09,1,Jan,0,Monday,0
2025-01-14,0,52360,88,595.0,54.14,18.45,15,1.5,3490.67,14.14,11.14,1,Jan,1,Tuesday,0
2025-01-15,5670,57700,82,703.66,54.52,4.31,12,1.33,4808.33,14.14,11.14,1,Jan,2,Wednesday,1
2025-01-16,0,85210,100,852.1,0.0,7.38,16,1.33,5325.63,13.74,10.74,1,Jan,3,Thursday,0
2025-01-17,5900,81390,88,924.89,42.66,7.5,16,1.33,5086.88,14.45,11.45,1,Jan,4,Friday,1
2025-01-18,0,89050,93,957.53,36.79,22.1,18,1.64,4947.22,8.93,5.93,1,Jan,5,Saturday,0
2025-01-19,0,14100,12,1175.0,35.18,9.5,2,1.0,7050.0,20.05,17.05,1,Jan,6,Sunday,0
2025-01-20,1260,77520,86,901.4,39.18,2.08,17,1.42,4560.0,13.95,10.95,1,Jan,0,Monday,1
2025-01-21,21180,60660,64,947.81,46.86,54.38,12,1.33,5055.0,13.71,10.71,1,Jan,1,Tuesday,1
2025-01-22,0,117220,109,1075.41,31.8,4.88,21,1.62,5581.9,13.54,10.54,1,Jan,2,Wednesday,0
2025-01-23,0,92270,90,1025.22,37.65,1.15,19,1.58,4856.32,14.0,11.0,1,Jan,3,Thursday,0
2025-01-24,2880,77780,88,883.86,45.2,4.25,15,1.36,5185.33,15.0,12.0,1,Jan,4,Friday,1
2025-01-25,0,75590,89,849.33,41.84,0.0,16,1.45,4724.38,0.07,-2.93,1,Jan,5,Saturday,0
2025-01-26,0,37460,15,2497.33,64.47,3.81,7,1.75,5351.43,9.27,6.27,1,Jan,6,Sunday,0
2025-01-27,9150,77790,74,1051.22,38.47,46.31,13,1.44,5983.85,14.01,11.01,1,Jan,0,Monday,1
2025-01-28,0,102380,106,965.85,37.88,0.0,17,1.31,6022.35,11.53,8.53,1,Jan,1,Tuesday,0
2025-01-29,5750,84040,77,1091.43,36.29,5.25,18,1.38,4668.89,13.62,10.62,1,Jan,2,Wednesday,1
2025-01-30,0,85120,92,925.22,35.82,0.0,17,1.42,5007.06,14.67,11.67,1,Jan,3,Thursday,0
2025-01-31,0,82000,94,872.34,36.34,24.13,15,1.25,5466.67,15.37,12.37,1,Jan,4,Friday,0
2025-02-01,6270,68040,87,782.07,45.41,5.88,14,1.56,4860.0,14.59,11.59,2,Feb,5,Saturday,1
2025-02-02,0,29050,20,1452.5,30.13,0.0,6,3.0,4841.67,9.52,6.52,2,Feb,6,Sunday,0
2025-02-03,0,71800,90,797.78,40.9,0.0,15,1.5,4786.67,13.91,10.91,2,Feb,0,Monday,0
2025-02-04,0,65790,91,722.97,33.62,1.75,15,1.5,4386.0,14.1,11.1,2,Feb,1,Tuesday,0
2025-02-05,0,79310,100,793.1,30.39,4.0,16,1.45,4956.88,13.85,10.85,2,Feb,2,Wednesday,0
2025-02-06,0,94810,95,998.0,35.02,0.2,19,1.58,4990.0,14.23,11.23,2,Feb,3,Thursday,0
2025-02-07,20450,75910,75,1012.13,37.0,12.46,14,1.27,5422.14,14.54,11.54,2,Feb,4,Friday,1
2025-02-08,0,96660,119,812.27,33.41,0.56,20,1.54,4833.0,10.96,7.96,2,Feb,5,Saturday,0
2025-02-09,0,30250,12,2520.83,33.38,0.0,5,1.67,6050.0,14.75,11.75,2,Feb,6,Sunday,0
2025-02-10,0,101520,99,1025.45,29.8,0.0,18,1.38,5640.0,13.76,10.76,2,Feb,0,Monday,0
2025-02-11,0,88670,97,914.12,41.98,0.0,18,1.5,4926.11,14.16,11.16,2,Feb,1,Tuesday,0
2025-02-12,0,95200,98,971.43,39.13,0.0,18,1.38,5288.89,14.76,11.76,2,Feb,2,Wednesday,0
2025-02-13,0,96860,96,1008.96,37.98,1.31,19,1.36,5097.89,13.97,10.97,2,Feb,3,Thursday,0
2025-02-14,4500,90540,93,973.55,37.05,0.0,18,1.64,5030.0,15.17,12.17,2,Feb,4,Friday,1
2025-02-15,0,74030,95,779.26,41.92,12.43,15,1.5,4935.33,11.03,8.03,2,Feb,5,Saturday,0
2025-02-16,3500,66080,36,1835.56,33.66,3.06,14,2.0,4720.0,9.29,6.29,2,Feb,6,Sunday,1
2025-02-17,6800,75390,76,991.97,37.62,0.44,16,1.45,4711.88,0.78,-2.22,2,Feb,0,Monday,1
2025-02-18,0,73040,102,716.08,40.09,26.05,17,1.55,4296.47,13.51,10.51,2,Feb,1,Tuesday,0
2025-02-19,0,83530,96,870.1,35.05,1.69,17,1.7,4913.53,13.82,10.82,2,Feb,2,Wednesday,0
2025-02-20,5789,89860,92,976.74,44.33,12.05,16,1.6,5616.25,13.98,10.98,2,Feb,3,Thursday,1
2025-02-21,0,92980,97,958.56,42.84,0.0,18,1.5,5165.56,14.21,11.21,2,Feb,4,Friday,0
2025-02-22,0,92820,92,1008.91,35.66,0.0,18,1.38,5156.67,0.35,-2.65,2,Feb,5,Saturday,0
2025-02-23,0,43440,25,1737.6,33.89,0.94,9,2.25,4826.67,10.55,7.55,2,Feb,6,Sunday,0
2025-02-24,6360,101750,91,1118.13,33.31,34.38,19,1.58,5355.26,14.27,11.27,2,Feb,0,Monday,1
2025-02-25,3050,99330,103,964.37,40.98,0.0,18,1.64,5518.33,14.47,11.47,2,Feb,1,Tuesday,1
2025-02-26,10130,100020,96,1041.88,43.4,10.94,17,1.55,5883.53,14.23,11.23,2,Feb,2,Wednesday,1
2025-02-27,8810,111550,102,1093.63,37.8,7.68,18,1.5,6197.22,14.05,11.05,2,Feb,3,Thursday,1
2025-02-28,6500,106390,96,1108.23,30.24,0.0,22,1.57,4835.91,10.77,7.77,2,Feb,4,Friday,1
2025-03-01,5100,87600,77,1137.66,35.9,0.0,18,1.5,4866.67,8.61,5.61,3,Mar,5,Saturday,1
2025-03-02,0,4110,7,587.14,25.06,0.98,1,1.0,4110.0,15.09,12.09,3,Mar,6,Sunday,0
2025-03-03,9290,81600,86,948.84,50.15,1.45,14,1.27,5828.57,15.09,12.09,3,Mar,0,Monday,1
2025-03-04,1950,126990,110,1154.45,32.88,0.81,25,1.67,5079.6,0.34,-2.66,3,Mar,1,Tuesday,1
2025-03-05,0,100920,97,1040.41,33.18,0.0,19,1.58,5311.58,13.95,10.95,3,Mar,2,Wednesday,0
2025-03-06,3000,103720,97,1069.28,41.1,36.71,19,1.58,5458.95,0.12,-2.88,3,Mar,3,Thursday,1
2025-03-07,2950,112470,99,1136.06,34.93,18.13,21,1.75,5355.71,0.42,-2.58,3,Mar,4,Friday,1
2025-03-08,5220,108050,95,1137.37,42.29,4.38,19,1.58,5686.84,14.21,11.21,3,Mar,5,Saturday,1
2025-03-09,0,92220,41,2249.27,34.42,11.31,18,2.57,5123.33,11.3,8.3,3,Mar,6,Sunday,0
2025-03-10,0,111610,94,1187.34,39.67,19.81,20,1.67,5580.5,13.83,10.83,3,Mar,0,Monday,0
2025-03-11,5790,109340,91,1201.54,44.72,1.75,20,1.67,5467.0,0.38,-2.62,3,Mar,1,Tuesday,1
2025-03-12,0,127450,104,1225.48,35.4,0.0,23,1.92,5541.3,0.51,-2.49,3,Mar,2,Wednesday,0
2025-03-13,8180,116380,90,1293.11,38.09,34.83,21,1.5,5541.9,0.11,-2.89,3,Mar,3,Thursday,1
2025-03-14,1810,122210,105,1163.9,38.45,0.0,23,1.77,5313.48,0.04,-2.96,3,Mar,4,Friday,1
2025-03-15,11170,116450,94,1238.83,26.1,21.0,21,1.91,5545.24,0.12,-2.88,3,Mar,5,Saturday,1
2025-03-16,0,102020,55,1854.91,35.26,11.31,21,2.1,4858.1,2.49,-0.51,3,Mar,6,Sunday,0
2025-03-17,0,148160,101,1466.93,39.88,0.38,25,1.92,5926.4,11.7,8.7,3,Mar,0,Monday,0
2025-03-18,15530,121510,87,1396.67,40.68,14.31,20,1.43,6075.5,13.55,10.55,3,Mar,1,Tuesday,1
2025-03-19,5230,142250,112,1270.09,38.58,25.49,27,1.69,5268.52,9.96,6.96,3,Mar,2,Wednesday,1
2025-03-20,0,125680,96,1309.17,42.72,0.0,24,1.85,5236.67,8.58,5.58,3,Mar,3,Thursday,0
2025-03-21,11030,107280,88,1219.09,41.24,57.31,18,1.38,5960.0,14.09,11.09,3,Mar,4,Friday,1
2025-03-22,4080,120810,103,1172.91,39.56,4.88,20,1.54,6040.5,13.27,10.27,3,Mar,5,Saturday,1
2025-03-23,7100,154760,78,1984.1,31.21,4.88,27,2.25,5731.85,10.82,7.82,3,Mar,6,Sunday,1
2025-03-24,14555,133300,100,1333.0,39.52,5.69,24,1.85,5554.17,10.44,7.44,3,Mar,0,Monday,1
2025-03-25,4740,130040,86,1512.09,35.87,3.94,22,1.83,5910.91,0.11,-2.89,3,Mar,1,Tuesday,1
2025-03-26,22500,139400,101,1380.2,41.13,0.0,24,1.6,5808.33,8.58,5.58,3,Mar,2,Wednesday,1
2025-03-27,0,144760,110,1316.0,38.21,1.94,25,1.92,5790.4,9.79,6.79,3,Mar,3,Thursday,0
2025-03-28,0,111180,85,1308.0,34.22,0.0,23,1.77,4833.91,0.07,-2.93,3,Mar,4,Friday,0
2025-03-29,0,105170,79,1331.27,33.63,4.08,20,1.67,5258.5,0.04,-2.96,3,Mar,5,Saturday,0
2025-04-03,53750,142040,59,2407.46,31.7,54.5,23,2.56,6175.65,11.16,8.16,4,Apr,3,Thursday,1
2025-04-04,34200,180280,95,1897.68,36.62,0.28,31,2.58,5815.48,0.33,-2.67,4,Apr,4,Friday,1
2025-04-05,18500,181380,85,2133.88,39.6,6.06,35,2.5,5182.29,0.01,-2.99,4,Apr,5,Saturday,1
2025-04-06,17435,117120,70,1673.14,32.77,15.0,21,2.33,5577.14,0.49,-2.51,4,Apr,6,Sunday,1
2025-04-07,39550,189980,88,2158.86,35.04,0.0,32,2.13,5936.88,0.06,-2.94,4,Apr,0,Monday,1
2025-04-08,28820,147120,95,1548.63,37.93,20.95,26,1.86,5658.46,11.25,8.25,4,Apr,1,Tuesday,1
2025-04-09,87788,142820,79,1807.85,42.38,21.31,25,1.79,5712.8,14.31,11.31,4,Apr,2,Wednesday,1
2025-04-10,52310,151650,105,1444.29,43.58,3.56,26,1.73,5832.69,11.96,8.96,4,Apr,3,Thursday,1
2025-04-11,76090,144830,73,1983.97,28.93,7.13,25,2.08,5793.2,2.63,-0.37,4,Apr,4,Friday,1
2025-04-12,37323,134840,115,1172.52,44.19,0.0,24,2.18,5618.33,11.39,8.39,4,Apr,5,Saturday,1
2025-04-13,45810,101530,62,1637.58,50.02,29.21,18,2.0,5640.56,0.12,-2.88,4,Apr,6,Sunday,1
2025-04-14,76910,113920,74,1539.46,33.7,6.31,21,1.91,5424.76,0.17,-2.83,4,Apr,0,Monday,1
2025-04-15,95674,127460,83,1535.66,42.07,11.76,24,2.4,5310.83,8.05,5.05,4,Apr,1,Tuesday,1
2025-04-16,82345,160130,100,1601.3,39.46,3.06,26,1.63,6158.85,11.49,8.49,4,Apr,2,Wednesday,1
2025-04-17,65330,135930,94,1446.06,33.64,2.75,24,1.71,5663.75,13.43,10.43,4,Apr,3,Thursday,1
2025-04-18,0,149380,107,1396.07,39.43,10.94,23,2.09,6494.78,9.11,6.11,4,Apr,4,Friday,0
2025-04-19,14100,125280,80,1566.0,35.01,0.0,21,1.5,5965.71,0.68,-2.32,4,Apr,5,Saturday,1
2025-04-20,0,85550,33,2592.42,18.07,0.0,15,1.88,5703.33,0.09,-2.91,4,Apr,6,Sunday,0
2025-04-21,22930,139090,81,1717.16,37.31,1.94,23,1.64,6047.39,13.61,10.61,4,Apr,0,Monday,1
2025-04-22,29490,153290,93,1648.28,41.55,2.13,26,1.86,5895.77,11.39,8.39,4,Apr,1,Tuesday,1
2025-04-23,13800,150620,88,1711.59,38.91,0.0,25,2.08,6024.8,10.13,7.13,4,Apr,2,Wednesday,1
2025-04-24,57040,141110,101,1397.13,42.69,1.38,25,1.79,5644.4,8.92,5.92,4,Apr,3,Thursday,1
2025-04-25,43800,144530,94,1537.55,38.2,18.31,26,1.73,5558.85,11.64,8.64,4,Apr,4,Friday,1
2025-04-26,58250,110920,81,1369.38,40.47,0.0,20,1.82,5546.0,11.1,8.1,4,Apr,5,Saturday,1
2025-04-27,40700,151510,79,1917.85,36.0,16.39,26,2.6,5827.31,9.53,6.53,4,Apr,6,Sunday,1
2025-04-28,32108,162930,102,1597.35,38.26,0.0,28,1.87,5818.93,10.17,7.17,4,Apr,0,Monday,1
2025-04-29,59300,169750,89,1907.3,28.91,3.91,28,2.0,6062.5,0.38,-2.62,4,Apr,1,Tuesday,1
2025-04-30,55440,145780,91,1601.98,36.31,1.0,25,1.56,5831.2,8.41,5.41,4,Apr,2,Wednesday,1
2025-05-01,0,82730,0,0.0,10.74,8.67,15,1.67,5515.33,1.65,-1.35,5,May,3,Thursday,0
2025-05-02,40920,127860,106,1206.23,42.29,7.78,22,1.83,5811.82,14.11,11.11,5,May,4,Friday,1
2025-05-03,23500,180320,108,1669.63,40.23,11.56,30,2.0,6010.67,10.29,7.29,5,May,5,Saturday,1
2025-05-04,0,135140,61,2215.41,38.76,1.88,22,1.57,6142.73,11.82,8.82,5,May,6,Sunday,0
2025-05-05,3550,137810,97,1420.72,51.57,6.38,25,1.56,5512.4,14.86,11.86,5,May,0,Monday,1
2025-05-06,16150,141200,97,1455.67,43.75,39.56,25,1.67,5648.0,0.53,-2.47,5,May,1,Tuesday,1
2025-05-07,27600,140860,98,1437.35,38.8,0.0,25,2.08,5634.4,0.38,-2.62,5,May,2,Wednesday,1
2025-05-08,21600,164160,101,1625.35,31.26,17.88,29,1.81,5660.69,1.02,-1.98,5,May,3,Thursday,1
2025-05-09,3780,146490,88,1664.66,31.18,0.5,28,2.0,5231.79,0.33,-2.67,5,May,4,Friday,1
2025-05-10,27100,130180,103,1263.88,37.33,0.81,25,1.56,5207.2,1.12,-1.88,5,May,5,Saturday,1
2025-05-11,13671,162410,72,2255.69,35.54,0.0,28,1.87,5800.36,10.92,7.92,5,May,6,Sunday,1
2025-05-12,3900,150510,86,1750.12,37.42,0.0,28,1.75,5375.36,8.37,5.37,5,May,0,Monday,1
2025-05-13,7900,176070,93,1893.23,37.31,21.56,31,1.94,5679.68,13.3,10.3,5,May,1,Tuesday,1
2025-05-14,21118,158130,107,1477.85,41.47,25.94,27,1.69,5856.67,14.87,11.87,5,May,2,Wednesday,1
2025-05-15,10302,164700,108,1525.0,39.32,2.5,30,1.88,5490.0,0.11,-2.89,5,May,3,Thursday,1
2025-05-16,5850,99750,100,997.5,38.92,25.0,17,1.31,5867.65,0.47,-2.53,5,May,4,Friday,1
2025-05-17,19700,192580,103,1869.71,27.19,17.63,33,2.06,5835.76,1.52,-1.48,5,May,5,Saturday,1
2025-05-18,23610,130630,53,2464.72,35.86,17.01,24,1.71,5442.92,10.27,7.27,5,May,6,Sunday,1
2025-05-19,40240,136630,103,1326.5,42.1,0.0,23,1.53,5940.43,14.24,11.24,5,May,0,Monday,1
2025-05-20,28954,148780,109,1364.95,37.0,15.06,26,1.73,5722.31,8.67,5.67,5,May,1,Tuesday,1
2025-05-21,22872,158360,98,1615.92,40.71,5.59,27,1.69,5865.19,0.31,-2.69,5,May,2,Wednesday,1
2025-05-22,36639,156830,111,1412.88,41.97,1.44,26,1.73,6031.92,0.45,-2.55,5,May,3,Thursday,1
2025-05-23,55610,128760,107,1203.36,46.32,0.0,23,1.53,5598.26,14.02,11.02,5,May,4,Friday,1
2025-05-24,65884,124860,104,1200.58,35.77,0.0,21,1.5,5945.71,9.68,6.68,5,May,5,Saturday,1
2025-05-25,40850,134010,79,1696.33,34.45,0.0,21,1.62,6381.43,16.55,13.55,5,May,6,Sunday,1
2025-05-26,28076,147010,102,1441.27,36.65,16.88,28,2.15,5250.36,0.62,-2.38,5,May,0,Monday,1
2025-05-27,53451,117120,109,1074.5,47.59,2.71,21,1.75,5577.14,10.47,7.47,5,May,1,Tuesday,1
2025-05-28,40080,162370,109,1489.63,39.72,0.0,28,2.33,5798.93,0.6,-2.4,5,May,2,Wednesday,1
2025-05-29,24820,138840,68,2041.76,37.03,0.0,23,1.77,6036.52,8.59,5.59,5,May,3,Thursday,1
2025-05-30,18012,156270,101,1547.23,41.12,5.19,29,1.71,5388.62,14.11,11.11,5,May,4,Friday,1
2025-05-31,0,185010,104,1778.94,25.42,0.0,31,1.82,5968.06,13.52,10.52,5,May,5,Saturday,0
2025-06-01,6180,88970,61,1458.52,32.65,37.74,15,1.88,5931.33,10.41,7.41,6,Jun,6,Sunday,1
2025-06-02,12296,152120,111,1370.45,38.22,12.75,27,1.69,5634.07,13.55,10.55,6,Jun,0,Monday,1
2025-06-03,63451,105650,109,969.27,49.2,0.0,18,1.29,5869.44,14.27,11.27,6,Jun,1,Tuesday,1
2025-06-04,23958,185590,106,1750.85,29.39,0.0,33,1.83,5623.94,0.16,-2.84,6,Jun,2,Wednesday,1
2025-06-05,4270,158160,95,1664.84,39.11,0.0,27,1.93,5857.78,13.82,10.82,6,Jun,3,Thursday,1
2025-06-06,4270,21440,0,0.0,0.0,0.0,3,1.0,7146.67,1.4,-1.6,6,Jun,4,Friday,1
2025-06-07,6780,127350,82,1553.05,39.47,3.69,23,1.77,5536.96,14.09,11.09,6,Jun,5,Saturday,1
2025-06-08,4049,84510,50,1690.2,39.24,0.0,15,1.88,5634.0,10.02,7.02,6,Jun,6,Sunday,1
2025-06-09,21466,170540,99,1722.63,38.86,0.0,31,2.21,5501.29,11.85,8.85,6,Jun,0,Monday,1
2025-06-10,9768,176820,106,1668.11,34.23,0.31,30,2.0,5894.0,0.15,-2.85,6,Jun,1,Tuesday,1
2025-06-11,3707,169370,104,1628.56,37.08,0.0,29,2.07,5840.34,0.31,-2.69,6,Jun,2,Wednesday,1
2025-06-12,11020,166200,105,1582.86,30.25,9.44,28,2.0,5935.71,13.29,10.29,6,Jun,3,Thursday,1
2025-06-13,22635,134100,108,1241.67,41.39,0.38,25,1.79,5364.0,14.24,11.24,6,Jun,4,Friday,1
2025-06-14,16491,147580,109,1353.94,39.26,12.4,26,2.17,5676.15,9.19,6.19,6,Jun,5,Saturday,1
2025-06-15,0,174210,75,2322.8,25.79,9.94,30,2.14,5807.0,0.16,-2.84,6,Jun,6,Sunday,0
2025-06-16,4700,121870,105,1160.67,44.19,0.0,25,1.79,4874.8,13.58,10.58,6,Jun,0,Monday,1
2025-06-17,15490,133450,107,1247.2,38.32,0.19,25,1.79,5338.0,13.85,10.85,6,Jun,1,Tuesday,1
2025-06-18,4640,131810,100,1318.1,34.85,0.0,24,1.71,5492.08,13.52,10.52,6,Jun,2,Wednesday,1
2025-06-19,45880,96170,100,961.7,58.06,13.25,17,1.31,5657.06,13.64,10.64,6,Jun,3,Thursday,1
2025-06-20,31320,161100,111,1451.35,34.75,34.43,27,1.93,5966.67,1.28,-1.72,6,Jun,4,Friday,1
2025-06-21,23270,148520,107,1388.04,35.51,1.23,26,2.0,5712.31,0.08,-2.92,6,Jun,5,Saturday,1
2025-06-22,2500,135840,76,1787.37,23.63,2.63,25,1.92,5433.6,1.04,-1.96,6,Jun,6,Sunday,1
2025-06-23,60010,87620,111,789.37,57.12,1.31,16,1.6,5476.25,13.65,10.65,6,Jun,0,Monday,1
2025-06-24,10347,152320,115,1324.52,34.55,0.5,27,1.69,5641.48,2.16,-0.84,6,Jun,1,Tuesday,1
2025-06-25,35089,153350,102,1503.43,34.45,3.69,27,2.08,5679.63,8.59,5.59,6,Jun,2,Wednesday,1
2025-06-26,52805,119360,105,1136.76,38.74,4.75,21,1.62,5683.81,11.53,8.53,6,Jun,3,Thursday,1
2025-06-27,13080,160030,93,1720.75,28.92,0.0,31,2.21,5162.26,8.27,5.27,6,Jun,4,Friday,1
2025-06-28,13990,104170,99,1052.22,34.5,0.0,21,1.75,4960.48,13.51,10.51,6,Jun,5,Saturday,1
2025-06-29,8390,87960,70,1256.57,22.88,15.19,16,1.45,5497.5,13.54,10.54,6,Jun,6,Sunday,1
2025-06-30,19500,119120,111,1073.15,34.51,22.0,23,1.53,5179.13,13.5,10.5,6,Jun,0,Monday,1
